frame,max_load,min_load,avg_load,stddev_load,imbalance
0,431.00,19.00,125.00,176.7088,2.4480
1,431.00,19.00,125.00,176.7088,2.4480
2,431.00,19.00,125.00,176.7088,2.4480
3,431.00,19.00,125.00,176.7088,2.4480
4,431.00,0.00,107.75,186.6285,3.0000
5,430.00,0.00,112.50,183.4905,2.8222
6,0.00,0.00,0.00,0.0000,0.0000
7,0.00,0.00,0.00,0.0000,0.0000
8,430.00,0.00,112.50,183.4905,2.8222
9,430.00,0.00,112.50,183.4905,2.8222
10,430.00,0.00,107.50,186.1955,3.0000
11,430.00,0.00,112.50,183.4905,2.8222
12,430.00,0.00,119.75,179.4302,2.5908
13,0.00,0.00,0.00,0.0000,0.0000
14,0.00,0.00,0.00,0.0000,0.0000
15,0.00,0.00,0.00,0.0000,0.0000
16,0.00,0.00,0.00,0.0000,0.0000
17,0.00,0.00,0.00,0.0000,0.0000
18,0.00,0.00,0.00,0.0000,0.0000
19,0.00,0.00,0.00,0.0000,0.0000
20,0.00,0.00,0.00,0.0000,0.0000
21,0.00,0.00,0.00,0.0000,0.0000
22,0.00,0.00,0.00,0.0000,0.0000
23,0.00,0.00,0.00,0.0000,0.0000
24,0.00,0.00,0.00,0.0000,0.0000
25,429.00,0.00,114.25,182.0802,2.7549
26,0.00,0.00,0.00,0.0000,0.0000
27,0.00,0.00,0.00,0.0000,0.0000
28,429.00,0.00,107.25,185.7624,3.0000
29,429.00,0.00,107.25,185.7624,3.0000
30,429.00,0.00,114.25,182.0802,2.7549
31,429.00,0.00,114.25,182.0802,2.7549
32,429.00,0.00,112.75,182.8078,2.8049
33,429.00,0.00,112.75,182.8078,2.8049
34,429.00,0.00,119.75,178.8496,2.5825
35,429.00,0.00,119.75,178.8496,2.5825
36,431.00,0.00,120.25,179.7142,2.5842
37,430.00,0.00,120.00,179.2819,2.5833
38,430.00,0.00,113.00,183.2403,2.8053
39,0.00,0.00,0.00,0.0000,0.0000
40,0.00,0.00,0.00,0.0000,0.0000
41,430.00,0.00,107.50,186.1955,3.0000
42,0.00,0.00,0.00,0.0000,0.0000
43,430.00,0.00,113.75,182.8721,2.7802
44,430.00,0.00,120.25,179.1401,2.5759
45,430.00,0.00,120.25,179.1401,2.5759
46,430.00,0.00,120.25,179.1401,2.5759
47,430.00,0.00,120.25,179.1401,2.5759
48,429.00,0.00,120.00,178.7079,2.5750
49,429.00,0.00,120.00,178.7079,2.5750
50,429.00,0.00,120.00,178.7079,2.5750
51,0.00,0.00,0.00,0.0000,0.0000
52,0.00,0.00,0.00,0.0000,0.0000
53,0.00,0.00,0.00,0.0000,0.0000
54,0.00,0.00,0.00,0.0000,0.0000
55,429.00,0.00,107.25,185.7624,3.0000
56,429.00,0.00,114.00,182.1991,2.7632
57,0.00,0.00,0.00,0.0000,0.0000
58,429.00,0.00,107.25,185.7624,3.0000
59,26.00,0.00,6.50,11.2583,3.0000
60,429.00,0.00,113.75,182.3189,2.7714
61,429.00,0.00,113.75,182.3189,2.7714
62,429.00,0.00,113.75,182.3189,2.7714
63,429.00,0.00,113.75,182.3189,2.7714
64,429.00,0.00,107.25,185.7624,3.0000
