frame,thread_id,particles_processed,time_spent_ms,migrations_sent,migrations_received,insertions,removals,subdivisions,merges
0,0,431,0.191,0,0,431,0,0,0
0,1,19,0.170,0,0,19,0,0,0
0,2,21,0.137,0,0,21,0,0,0
0,3,29,0.116,0,0,29,0,0,0
1,0,431,0.129,0,0,431,0,0,0
1,1,19,0.118,0,0,19,0,0,0
1,2,21,0.119,0,0,21,0,0,0
1,3,29,0.133,0,0,29,0,0,0
2,0,431,0.109,0,0,431,0,0,0
2,1,19,0.119,0,0,19,0,0,0
2,2,21,0.119,0,0,21,0,0,0
2,3,29,0.112,0,0,29,0,0,0
3,0,431,0.119,0,0,431,0,0,0
3,1,19,0.123,0,0,19,0,0,0
3,2,21,0.110,0,0,21,0,0,0
3,3,29,0.113,0,0,29,0,0,0
4,0,431,0.272,0,0,431,0,0,0
4,1,0,0.000,0,0,0,0,0,0
4,0,0,0.000,0,0,0,0,0,0
4,3,0,0.000,0,0,0,0,0,0
5,0,430,0.124,1,0,430,0,0,0
5,1,0,0.000,0,0,0,0,0,0
5,2,20,0.134,1,0,20,0,0,0
5,3,0,0.000,0,0,0,0,0,0
6,0,0,0.000,0,0,0,0,0,0
6,1,0,0.000,0,0,0,0,0,0
6,2,0,0.000,0,0,0,0,0,0
6,3,0,0.000,0,0,0,0,0,0
7,0,0,0.000,0,0,0,0,0,0
7,1,0,0.000,0,0,0,0,0,0
7,2,0,0.000,0,0,0,0,0,0
7,3,0,0.000,0,0,0,0,0,0
8,0,430,0.112,0,0,430,0,0,0
8,1,0,0.000,0,0,0,0,0,0
8,2,20,0.115,0,0,20,0,0,0
8,3,0,0.000,0,0,0,0,0,0
9,0,430,0.345,0,0,430,0,0,0
9,1,0,0.000,0,0,0,0,0,0
9,2,20,0.349,0,0,20,0,0,0
9,3,0,0.000,0,0,0,0,0,0
10,0,430,0.122,0,0,430,0,0,0
10,1,0,0.000,0,0,0,0,0,0
10,2,0,0.000,0,0,0,0,0,0
10,3,0,0.000,0,0,0,0,0,0
11,0,430,0.103,0,0,430,0,0,0
11,1,0,0.000,0,0,0,0,0,0
11,2,20,0.110,0,0,20,0,0,0
11,3,0,0.000,0,0,0,0,0,0
12,0,430,0.108,0,0,430,0,0,0
12,1,0,0.000,0,0,0,0,0,0
12,2,20,0.113,0,0,20,0,0,0
12,3,29,0.118,0,0,29,0,0,0
13,0,0,0.000,0,0,0,0,0,0
13,1,0,0.000,0,0,0,0,0,0
13,2,0,0.000,0,0,0,0,0,0
13,3,0,0.000,0,0,0,0,0,0
14,0,0,0.000,0,0,0,0,0,0
14,1,0,0.000,0,0,0,0,0,0
14,2,0,0.000,0,0,0,0,0,0
14,3,0,0.000,0,0,0,0,0,0
15,0,0,0.000,0,0,0,0,0,0
15,1,0,0.000,0,0,0,0,0,0
15,2,0,0.000,0,0,0,0,0,0
15,3,0,0.000,0,0,0,0,0,0
