frame,time_ms
0,0.144
1,0.155
2,0.143
3,0.144
4,0.157
5,0.159
6,0.145
7,0.149
8,0.137
9,0.143
10,0.158
11,0.135
12,0.133
13,0.150
14,0.149
15,0.148
16,0.144
17,0.143
18,0.142
19,0.144
20,0.139
21,0.141
22,0.142
23,0.140
24,0.148
25,0.135
26,0.170
27,0.143
28,0.144
29,0.150
30,0.143
31,0.137
32,0.134
33,0.131
34,0.139
35,0.141
36,0.152
37,0.135
38,0.129
39,0.144
40,0.141
41,0.142
42,0.141
43,0.139
44,0.122
45,0.137
46,0.146
47,0.138
48,0.138
49,0.167
50,0.140
51,0.152
52,0.147
53,0.143
54,0.142
55,0.146
56,0.149
57,0.139
58,0.139
59,0.134
60,0.137
61,0.132
62,0.134
63,0.130
64,0.136
65,0.132
66,0.143
67,0.138
68,0.141
69,0.142
70,0.136
71,0.138
72,0.143
73,0.141
74,0.140
75,0.148
76,0.145
77,0.137
78,0.139
79,0.136
80,1.029
81,0.157
82,0.168
83,0.158
84,0.158
85,0.172
86,0.227
87,0.164
88,0.153
89,0.182
90,0.166
91,0.171
92,0.140
93,0.135
94,0.153
95,0.132
96,0.136
97,0.133
98,0.139
99,0.295
100,0.316
101,0.127
102,0.145
103,0.138
104,0.147
105,0.142
106,0.156
107,0.146
108,0.613
109,0.136
110,0.133
111,0.144
112,0.136
113,0.155
114,0.144
115,0.136
116,0.137
117,0.143
118,0.134
119,0.130
120,0.163
121,0.149
122,0.136
123,0.133
124,0.129
125,0.140
126,0.147
127,0.144
128,0.131
129,0.132
130,0.140
131,0.152
132,0.147
133,0.141
134,0.135
135,0.140
136,0.162
137,0.138
138,0.132
139,0.140
140,0.147
141,0.144
142,0.144
143,0.102
144,0.157
145,0.128
146,0.142
147,0.139
148,0.144
149,0.157
150,0.144
151,0.135
152,0.130
153,0.138
154,0.145
155,0.144
156,0.140
157,0.133
158,0.132
159,0.145
160,0.139
161,0.140
162,0.140
163,0.165
164,0.116
165,0.137
166,0.134
167,0.134
168,0.129
169,0.171
170,0.117
171,0.134
172,0.127
173,0.153
174,0.168
175,0.178
176,0.135
177,0.140
178,0.134
179,0.133
180,0.132
181,0.134
182,0.130
183,0.136
184,0.134
185,0.148
186,0.131
187,0.125
188,0.130
189,0.132
190,0.129
191,0.131
192,0.129
193,0.140
194,0.142
195,0.136
196,0.132
197,0.130
198,0.137
199,0.135
200,0.137
201,0.130
202,0.137
203,0.134
204,0.131
205,0.130
206,0.134
207,0.137
208,0.141
209,0.132
210,0.133
211,0.134
212,0.132
213,0.131
214,0.131
215,0.138
216,0.136
217,0.137
218,0.138
219,0.134
220,0.135
221,0.135
222,0.135
223,0.133
224,0.129
225,0.136
226,0.136
227,0.138
228,0.135
229,0.132
230,0.144
231,0.125
232,0.133
233,0.131
234,0.127
235,0.129
236,0.127
237,0.127
238,0.121
239,0.124
240,0.135
241,0.124
242,0.111
243,0.127
244,0.125
245,0.135
246,0.128
247,0.152
248,0.130
249,1.010
250,0.176
251,0.121
252,0.127
253,0.134
254,0.126
255,0.130
256,0.121
257,0.130
258,0.121
259,0.126
260,0.127
261,0.127
262,0.129
263,0.124
264,0.123
265,0.121
266,0.127
267,0.127
268,0.124
269,0.119
270,0.123
271,0.124
272,0.126
273,0.130
274,0.125
275,0.194
276,0.127
277,0.122
278,0.124
279,0.125
280,0.125
281,0.130
282,0.123
283,0.126
284,0.125
285,0.129
286,0.127
287,0.125
288,0.131
289,0.127
290,0.130
291,0.125
292,0.122
293,0.129
294,0.127
295,0.129
296,0.123
297,0.137
298,0.121
299,0.121
