frame,total_nodes,max_depth,avg_depth
0,321,7,5.95
1,321,7,5.91
2,309,7,5.87
3,313,7,5.89
4,309,7,5.87
5,309,7,5.85
6,297,7,5.81
7,297,7,5.79
8,317,7,5.87
9,317,8,5.88
10,321,7,5.88
11,329,8,5.93
12,313,8,5.90
13,321,8,5.92
14,321,8,5.92
15,313,8,5.87
16,321,8,5.92
17,305,8,5.86
18,285,8,5.77
19,297,8,5.78
20,289,7,5.71
21,301,8,5.77
22,313,8,5.83
23,293,7,5.70
24,297,7,5.75
25,301,7,5.79
26,309,7,5.78
27,325,7,5.88
28,317,7,5.85
29,305,7,5.81
30,301,7,5.76
31,289,7,5.70
32,309,7,5.81
33,301,7,5.80
34,305,7,5.70
35,305,7,5.69
36,317,7,5.68
37,325,7,5.68
38,325,7,5.68
39,305,7,5.62
40,317,7,5.69
41,305,7,5.62
42,305,7,5.64
43,321,8,5.75
44,317,7,5.69
45,313,8,5.71
46,305,7,5.65
47,317,8,5.74
48,317,7,5.71
49,317,7,5.69
50,325,7,5.72
51,313,7,5.68
52,325,7,5.70
53,313,7,5.68
54,301,8,5.64
55,309,8,5.65
56,305,8,5.65
57,293,7,5.60
58,317,8,5.70
59,317,8,5.70
60,297,8,5.62
61,309,7,5.66
62,309,8,5.65
63,313,8,5.67
64,337,7,5.70
65,305,7,5.60
66,313,7,5.60
67,313,7,5.58
68,325,8,5.62
69,329,7,5.62
70,337,8,5.69
71,329,8,5.64
72,305,7,5.53
73,309,7,5.54
74,321,7,5.56
75,325,8,5.59
76,309,8,5.52
77,321,8,5.57
78,305,7,5.48
79,313,8,5.62
80,313,8,5.57
81,305,7,5.51
82,305,8,5.44
83,301,7,5.50
84,321,7,5.59
85,333,8,5.60
86,325,7,5.50
87,325,8,5.50
88,329,8,5.51
89,325,7,5.53
90,317,7,5.49
91,321,8,5.50
92,325,7,5.48
93,337,7,5.53
94,333,7,5.49
95,317,7,5.44
96,333,7,5.47
97,329,7,5.43
98,325,7,5.42
99,317,7,5.39
100,325,8,5.43
101,329,8,5.41
102,313,7,5.32
103,325,7,5.36
104,341,7,5.42
105,341,7,5.42
106,349,8,5.43
107,337,7,5.34
108,353,8,5.40
109,353,7,5.36
110,349,7,5.34
111,369,7,5.41
112,349,7,5.35
113,333,7,5.29
114,333,7,5.36
115,333,7,5.35
116,325,7,5.31
117,313,7,5.26
118,313,7,5.27
119,321,7,5.31
120,333,7,5.36
121,317,7,5.29
122,317,7,5.24
123,301,7,5.19
124,313,7,5.22
125,329,7,5.25
126,325,7,5.27
127,325,7,5.29
128,309,7,5.26
129,329,7,5.31
130,337,7,5.30
131,337,7,5.30
132,353,7,5.35
133,345,7,5.31
134,329,7,5.26
135,333,7,5.29
136,337,7,5.29
137,337,7,5.30
138,341,7,5.30
139,341,7,5.30
140,345,7,5.27
141,341,7,5.24
142,341,7,5.23
143,341,7,5.24
144,333,7,5.20
145,341,7,5.25
146,357,7,5.30
147,365,7,5.31
148,365,7,5.31
149,349,7,5.27
150,337,7,5.22
151,337,7,5.22
152,333,7,5.22
153,333,7,5.20
154,337,7,5.19
155,345,7,5.23
156,325,7,5.14
157,325,7,5.09
158,349,7,5.20
159,321,7,5.10
160,317,7,5.10
161,321,7,5.14
162,309,7,5.10
163,313,7,5.09
164,309,7,5.12
165,305,7,5.11
166,293,7,5.06
167,297,7,5.08
168,301,7,5.10
169,305,7,5.09
170,321,7,5.11
171,313,7,5.09
172,301,7,5.04
173,305,7,5.06
174,301,7,5.04
175,305,7,5.07
176,309,7,5.08
177,313,7,5.11
178,309,7,5.08
179,333,7,5.13
180,325,7,5.10
181,305,7,5.02
182,305,7,5.01
183,317,7,5.07
184,325,7,5.09
185,317,7,5.03
186,313,7,5.02
187,317,7,5.03
188,301,6,4.94
189,305,6,4.96
190,301,6,4.95
191,313,6,4.98
192,313,6,4.98
193,309,7,4.97
194,309,7,4.99
195,309,7,4.99
196,313,7,4.99
197,317,7,5.00
198,313,7,5.02
199,309,7,5.01
200,309,7,5.01
201,313,7,5.00
202,313,7,5.03
203,309,7,5.01
204,309,7,5.01
205,317,7,5.03
206,325,7,5.05
207,329,7,5.09
208,321,7,5.05
209,317,7,5.02
210,317,7,5.03
211,317,7,5.01
212,333,7,5.02
213,333,7,5.05
214,333,7,5.05
215,341,7,5.07
216,341,7,5.03
217,341,7,5.03
218,329,7,5.01
219,329,7,4.98
220,321,7,4.99
221,289,7,4.88
222,297,7,4.92
223,297,6,4.92
224,301,6,4.95
225,301,6,4.92
226,313,7,4.97
227,321,7,4.96
228,321,7,4.96
229,313,7,4.94
230,301,7,4.90
231,305,7,4.92
232,305,7,4.94
233,297,7,4.92
234,305,7,4.93
235,309,7,4.95
236,293,7,4.89
237,297,7,4.91
238,297,7,4.91
239,297,7,4.92
240,281,7,4.85
241,289,7,4.87
242,285,7,4.89
243,273,7,4.87
244,273,7,4.84
245,269,7,4.82
246,293,7,4.90
247,297,7,4.89
248,297,7,4.89
249,289,7,4.88
250,285,6,4.82
251,289,6,4.87
252,297,6,4.87
253,297,6,4.89
254,281,6,4.82
255,277,6,4.82
256,273,6,4.82
257,277,6,4.88
258,273,6,4.85
259,273,6,4.85
260,269,6,4.85
261,261,6,4.82
262,265,6,4.79
263,257,6,4.76
264,253,7,4.77
265,253,7,4.80
266,253,7,4.77
267,249,7,4.74
268,249,7,4.74
269,249,7,4.74
270,249,7,4.74
271,249,7,4.76
272,257,7,4.78
273,257,7,4.79
274,257,7,4.73
275,257,6,4.68
276,257,6,4.67
277,253,6,4.66
278,257,6,4.68
279,257,6,4.68
280,249,6,4.65
281,249,6,4.65
282,245,6,4.62
283,261,6,4.68
284,253,6,4.63
285,261,6,4.66
286,265,6,4.67
287,281,7,4.73
288,277,6,4.72
289,277,6,4.70
290,277,6,4.70
291,273,7,4.72
292,281,7,4.75
293,273,6,4.74
294,273,6,4.75
295,277,6,4.76
296,285,7,4.80
297,285,7,4.79
298,285,7,4.78
299,273,6,4.75
