frame,max_load,min_load,avg_load,stddev_load,imbalance
0,52.00,0.00,35.75,21.0520,0.4545
1,52.00,0.00,25.25,25.2723,1.0594
2,56.00,0.00,14.00,24.2487,3.0000
3,54.00,0.00,13.50,23.3827,3.0000
4,53.00,0.00,25.50,25.5392,1.0784
5,55.00,0.00,25.75,25.8687,1.1359
6,48.00,0.00,21.75,21.9815,1.2069
7,48.00,0.00,12.00,20.7846,3.0000
8,0.00,0.00,0.00,0.0000,0.0000
9,48.00,0.00,22.50,22.5998,1.1333
10,52.00,0.00,35.75,20.8851,0.4545
11,52.00,0.00,35.00,20.6640,0.4857
12,51.00,0.00,35.25,20.6079,0.4468
13,50.00,0.00,35.25,20.5107,0.4184
14,48.00,0.00,23.00,23.0434,1.0870
15,50.00,0.00,23.75,23.8157,1.1053
16,44.00,0.00,11.00,19.0526,3.0000
17,0.00,0.00,0.00,0.0000,0.0000
18,49.00,0.00,23.50,23.5425,1.0851
19,51.00,0.00,23.50,23.6696,1.1702
20,0.00,0.00,0.00,0.0000,0.0000
21,49.00,0.00,24.25,24.2526,1.0206
22,60.00,0.00,39.25,23.1449,0.5287
23,62.00,0.00,40.00,23.7065,0.5500
24,52.00,0.00,24.50,24.5917,1.1224
25,50.00,0.00,24.00,24.0416,1.0833
26,50.00,0.00,24.00,24.0416,1.0833
27,50.00,0.00,12.50,21.6506,3.0000
28,50.00,0.00,12.50,21.6506,3.0000
29,52.00,0.00,25.25,25.2723,1.0594
30,51.00,0.00,12.75,22.0836,3.0000
31,57.00,0.00,14.25,24.6817,3.0000
32,0.00,0.00,0.00,0.0000,0.0000
33,63.00,0.00,27.25,27.9050,1.3119
34,63.00,0.00,27.25,27.9050,1.3119
35,63.00,0.00,27.25,27.9050,1.3119
36,62.00,0.00,37.25,22.8186,0.6644
37,61.00,0.00,37.00,22.5499,0.6486
38,60.00,0.00,26.25,26.7804,1.2857
39,60.00,0.00,25.75,26.4422,1.3301
40,60.00,0.00,36.25,22.1176,0.6552
41,60.00,0.00,36.00,22.0454,0.6667
42,60.00,0.00,36.25,22.1402,0.6552
43,60.00,0.00,25.25,26.1283,1.3762
44,60.00,0.00,25.25,26.1283,1.3762
45,59.00,0.00,25.50,26.1199,1.3137
46,59.00,0.00,25.25,25.9555,1.3366
47,58.00,0.00,36.75,21.9246,0.5782
48,58.00,42.00,50.25,6.4952,0.1542
49,58.00,0.00,40.50,23.6061,0.4321
50,57.00,0.00,40.25,23.4241,0.4161
51,0.00,0.00,0.00,0.0000,0.0000
52,55.00,0.00,25.75,25.8687,1.1359
53,55.00,0.00,13.75,23.8157,3.0000
54,0.00,0.00,0.00,0.0000,0.0000
55,42.00,0.00,10.50,18.1865,3.0000
56,57.00,41.00,50.00,6.1237,0.1400
57,54.00,0.00,35.75,21.1468,0.5105
58,54.00,0.00,26.50,26.5094,1.0377
59,55.00,0.00,40.00,23.1193,0.3750
60,56.00,0.00,40.75,23.5730,0.3742
61,53.00,0.00,26.00,26.0096,1.0385
62,53.00,0.00,26.50,26.5000,1.0000
63,54.00,0.00,13.50,23.3827,3.0000
64,53.00,0.00,13.25,22.9497,3.0000
65,0.00,0.00,0.00,0.0000,0.0000
66,56.00,0.00,40.25,23.2849,0.3913
67,55.00,0.00,39.50,22.8528,0.3924
68,57.00,0.00,40.25,23.3385,0.4161
69,52.00,0.00,25.75,25.7524,1.0194
70,56.00,0.00,40.25,23.2849,0.3913
71,55.00,0.00,39.75,22.9823,0.3836
72,55.00,0.00,39.75,22.9823,0.3836
73,54.00,0.00,26.50,26.5094,1.0377
74,53.00,0.00,26.25,26.2524,1.0190
75,53.00,0.00,26.25,26.2524,1.0190
76,53.00,0.00,26.25,26.2524,1.0190
77,53.00,0.00,26.00,26.0096,1.0385
78,53.00,0.00,26.00,26.0096,1.0385
79,56.00,40.00,50.00,6.0415,0.1200
80,56.00,40.00,50.00,6.0415,0.1200
81,56.00,40.00,50.00,6.0415,0.1200
82,56.00,40.00,50.00,6.0415,0.1200
83,58.00,0.00,27.50,27.5817,1.1091
84,0.00,0.00,0.00,0.0000,0.0000
85,57.00,0.00,27.50,27.5363,1.0727
86,59.00,0.00,40.00,23.3773,0.4750
87,60.00,0.00,40.25,23.5836,0.4907
88,59.00,0.00,27.75,27.8601,1.1261
89,59.00,0.00,27.75,27.8601,1.1261
90,59.00,0.00,40.00,23.3773,0.4750
91,61.00,0.00,40.75,23.9726,0.4969
92,60.00,0.00,40.25,23.6260,0.4907
93,60.00,0.00,28.25,28.3582,1.1239
94,60.00,0.00,28.25,28.3582,1.1239
95,60.00,0.00,28.25,28.3582,1.1239
96,59.00,0.00,39.75,23.2849,0.4843
97,59.00,0.00,40.75,23.6999,0.4479
98,58.00,0.00,27.50,27.5817,1.1091
99,58.00,0.00,40.00,23.2809,0.4500
100,58.00,0.00,40.00,23.2809,0.4500
101,58.00,0.00,27.50,27.5817,1.1091
102,58.00,0.00,27.50,27.5817,1.1091
103,58.00,0.00,27.50,27.5817,1.1091
104,58.00,0.00,40.00,23.2809,0.4500
105,58.00,40.00,50.00,6.4807,0.1600
106,58.00,40.00,50.00,6.4807,0.1600
107,53.00,0.00,25.50,25.5392,1.0784
108,66.00,0.00,41.25,24.8131,0.6000
109,63.00,0.00,40.50,24.0884,0.5556
110,65.00,0.00,41.25,24.7525,0.5758
111,65.00,0.00,41.25,24.6817,0.5758
112,64.00,0.00,27.50,28.2268,1.3273
113,64.00,0.00,16.00,27.7128,3.0000
114,63.00,0.00,15.75,27.2798,3.0000
115,63.00,0.00,27.25,27.9050,1.3119
116,63.00,0.00,27.25,27.9050,1.3119
117,63.00,0.00,27.25,27.9050,1.3119
118,61.00,0.00,26.75,27.2706,1.2804
119,60.00,0.00,39.00,23.0868,0.5385
120,59.00,0.00,39.00,22.9238,0.5128
121,59.00,0.00,26.50,26.8375,1.2264
122,59.00,0.00,39.25,23.0692,0.5032
123,58.00,0.00,39.75,23.1773,0.4591
124,58.00,0.00,39.50,23.0814,0.4684
125,62.00,0.00,40.00,23.7382,0.5500
126,60.00,0.00,26.75,27.1420,1.2430
127,60.00,0.00,39.50,23.2863,0.5190
128,60.00,0.00,39.50,23.2863,0.5190
129,60.00,0.00,39.50,23.2863,0.5190
130,60.00,0.00,39.50,23.2863,0.5190
131,59.00,0.00,26.50,26.8375,1.2264
132,47.00,0.00,11.75,20.3516,3.0000
133,47.00,0.00,11.75,20.3516,3.0000
134,59.00,0.00,14.75,25.5477,3.0000
135,59.00,0.00,14.75,25.5477,3.0000
136,59.00,0.00,26.50,26.8375,1.2264
137,61.00,0.00,39.75,23.5624,0.5346
138,59.00,0.00,39.75,23.2849,0.4843
139,58.00,0.00,39.25,22.9932,0.4777
140,57.00,0.00,26.00,26.2393,1.1923
141,57.00,0.00,39.00,22.7925,0.4615
142,57.00,0.00,39.00,22.7925,0.4615
143,57.00,0.00,39.00,22.7925,0.4615
144,61.00,0.00,39.75,23.5624,0.5346
145,57.00,0.00,26.25,26.4422,1.1714
146,56.00,0.00,38.50,22.4555,0.4545
147,56.00,0.00,38.50,22.4555,0.4545
148,56.00,0.00,38.50,22.4555,0.4545
149,56.00,0.00,38.50,22.4555,0.4545
150,56.00,0.00,25.75,25.9459,1.1748
151,56.00,0.00,38.50,22.4555,0.4545
152,0.00,0.00,0.00,0.0000,0.0000
153,54.00,0.00,26.75,26.7523,1.0187
154,54.00,0.00,26.50,26.5094,1.0377
155,53.00,0.00,13.25,22.9497,3.0000
156,52.00,0.00,13.00,22.5167,3.0000
157,52.00,0.00,13.00,22.5167,3.0000
158,52.00,0.00,13.00,22.5167,3.0000
159,56.00,0.00,26.75,26.8083,1.0935
160,56.00,0.00,38.50,22.4221,0.4545
161,57.00,0.00,38.25,22.4318,0.4902
162,55.00,0.00,37.75,22.0270,0.4570
163,55.00,0.00,37.75,22.0270,0.4570
164,57.00,0.00,26.75,26.8642,1.1308
165,56.00,0.00,37.75,22.1402,0.4834
166,56.00,0.00,38.00,22.2261,0.4737
167,57.00,0.00,38.00,22.3495,0.5000
168,55.00,0.00,38.00,22.1246,0.4474
169,54.00,0.00,25.25,25.3710,1.1386
170,54.00,0.00,37.75,21.9815,0.4305
171,53.00,0.00,37.50,21.8002,0.4133
172,53.00,0.00,37.50,21.8002,0.4133
173,53.00,0.00,24.75,24.8734,1.1414
174,53.00,0.00,24.75,24.8734,1.1414
175,53.00,0.00,24.75,24.8734,1.1414
176,53.00,0.00,13.25,22.9497,3.0000
177,54.00,0.00,13.50,23.3827,3.0000
178,55.00,0.00,24.75,25.0537,1.2222
179,54.00,0.00,24.50,24.7538,1.2041
180,0.00,0.00,0.00,0.0000,0.0000
181,54.00,0.00,24.50,24.7538,1.2041
182,53.00,0.00,37.50,21.7543,0.4133
183,53.00,0.00,24.75,24.8734,1.1414
184,53.00,0.00,13.25,22.9497,3.0000
185,0.00,0.00,0.00,0.0000,0.0000
186,56.00,0.00,26.00,26.1534,1.1538
187,54.00,0.00,25.25,25.3710,1.1386
188,56.00,0.00,25.75,25.9459,1.1748
189,55.00,0.00,25.50,25.6564,1.1569
190,55.00,0.00,38.25,22.3201,0.4379
191,54.00,0.00,37.75,21.9815,0.4305
192,56.00,0.00,25.50,25.7439,1.1961
193,55.00,0.00,38.00,22.1698,0.4474
194,55.00,0.00,38.00,22.1698,0.4474
195,57.00,0.00,38.50,22.5666,0.4805
196,56.00,0.00,38.25,22.3649,0.4641
197,51.00,0.00,24.25,24.3143,1.1031
198,56.00,0.00,38.25,22.3649,0.4641
199,56.00,0.00,38.50,22.4221,0.4545
200,56.00,0.00,38.25,22.3201,0.4641
201,55.00,0.00,38.00,22.1246,0.4474
202,50.00,0.00,24.25,24.2732,1.0619
203,57.00,0.00,38.25,22.4318,0.4902
204,55.00,0.00,38.25,22.2303,0.4379
205,55.00,0.00,38.25,22.2191,0.4379
206,49.00,0.00,24.25,24.2526,1.0206
207,56.00,0.00,38.25,22.2977,0.4641
208,55.00,0.00,38.50,22.3439,0.4286
209,55.00,0.00,38.25,22.2191,0.4379
210,55.00,0.00,38.25,22.2191,0.4379
211,55.00,0.00,26.50,26.5377,1.0755
212,54.00,0.00,38.50,22.2879,0.4026
213,53.00,0.00,38.00,21.9886,0.3947
214,53.00,0.00,38.00,21.9886,0.3947
215,51.00,0.00,25.25,25.2525,1.0198
216,50.00,0.00,25.00,25.0000,1.0000
217,0.00,0.00,0.00,0.0000,0.0000
218,52.00,0.00,25.25,25.2723,1.0594
219,0.00,0.00,0.00,0.0000,0.0000
220,53.00,0.00,25.50,25.5392,1.0784
221,55.00,0.00,26.00,26.0864,1.1154
222,0.00,0.00,0.00,0.0000,0.0000
223,52.00,0.00,25.75,25.7524,1.0194
224,0.00,0.00,0.00,0.0000,0.0000
225,51.00,0.00,25.00,25.0100,1.0400
226,50.00,0.00,24.75,24.7525,1.0202
227,51.00,0.00,25.00,25.0100,1.0400
228,51.00,0.00,25.25,25.2525,1.0198
229,52.00,0.00,25.25,25.2723,1.0594
230,51.00,0.00,24.75,24.7727,1.0606
231,51.00,0.00,24.75,24.7727,1.0606
232,51.00,0.00,24.75,24.7727,1.0606
233,53.00,0.00,25.25,25.3118,1.0990
234,51.00,0.00,25.25,25.2525,1.0198
235,53.00,0.00,25.50,25.5392,1.0784
236,52.00,0.00,25.75,25.7524,1.0194
237,52.00,0.00,25.00,25.0400,1.0800
238,51.00,0.00,25.25,25.2525,1.0198
239,51.00,0.00,25.50,25.5000,1.0000
240,53.00,0.00,25.50,25.5392,1.0784
241,52.00,0.00,24.75,24.8131,1.1010
242,54.00,0.00,25.25,25.3710,1.1386
243,53.00,0.00,25.00,25.0898,1.1200
244,53.00,0.00,26.00,26.0096,1.0385
245,53.00,0.00,25.50,25.5392,1.0784
246,53.00,0.00,25.50,25.5392,1.0784
247,55.00,0.00,26.00,26.0864,1.1154
248,54.00,0.00,37.50,21.8002,0.4400
249,54.00,0.00,25.75,25.8106,1.0971
250,54.00,0.00,25.75,25.8106,1.0971
251,54.00,0.00,26.75,26.7523,1.0187
