frame,thread_id,particles_processed,time_spent_ms,migrations_sent,migrations_received,insertions,removals,subdivisions,merges
0,0,0,0.000,0,0,0,0,0,0
0,1,41,0.178,0,0,41,0,0,0
0,2,52,0.155,1,0,52,0,0,0
0,3,50,0.122,0,1,50,0,0,0
1,0,0,0.000,0,0,0,0,0,0
1,1,0,0.000,2,0,0,0,0,0
1,2,52,0.074,0,0,52,0,0,0
1,3,49,0.073,0,0,49,0,0,0
2,0,0,0.000,0,0,0,0,0,0
2,1,0,0.000,0,0,0,0,0,0
2,2,56,0.060,0,2,56,0,0,0
2,3,0,0.000,0,0,0,0,0,0
3,0,0,0.000,0,0,0,0,0,0
3,1,0,0.000,0,0,0,0,0,0
3,2,54,0.063,0,0,54,0,0,0
3,3,0,0.000,0,0,0,0,0,0
4,0,0,0.000,1,0,0,0,0,0
4,1,0,0.000,1,0,0,0,0,0
4,2,53,0.301,1,0,53,0,0,0
4,3,49,0.312,0,0,49,0,0,0
5,0,0,0.000,0,0,0,0,0,0
5,1,0,0.000,0,0,0,0,0,0
5,2,55,0.066,0,1,55,0,0,0
5,3,48,0.062,1,0,48,0,0,0
6,0,0,0.000,0,0,0,0,0,0
6,1,39,0.080,0,0,39,0,0,0
6,2,0,0.000,1,0,0,0,0,0
6,3,48,0.086,0,0,48,0,0,0
7,0,0,0.000,0,0,0,0,0,0
7,1,0,0.000,0,0,0,0,0,0
7,2,0,0.000,0,0,0,0,0,0
7,3,48,0.099,0,0,48,0,0,0
8,0,0,0.000,1,0,0,0,0,0
8,1,0,0.000,0,0,0,0,0,0
8,2,0,0.000,0,0,0,0,0,0
8,3,0,0.000,0,0,0,0,0,0
9,0,0,0.000,0,0,0,0,0,0
9,1,42,0.075,0,1,42,0,0,0
9,2,0,0.000,1,0,0,0,0,0
9,3,48,0.069,0,0,48,0,0,0
10,0,0,0.000,0,0,0,0,0,0
10,1,43,1.072,0,1,43,0,0,0
10,2,52,1.078,1,0,52,0,0,0
10,3,48,1.072,0,0,48,0,0,0
11,0,0,0.000,0,0,0,0,0,0
11,1,40,0.060,2,0,40,0,0,0
11,2,52,0.074,0,0,52,0,0,0
11,3,48,0.066,0,0,48,0,0,0
12,0,0,0.000,0,0,0,0,0,0
12,1,42,0.070,0,1,42,0,0,0
12,2,51,0.069,1,0,51,0,0,0
12,3,48,0.068,0,0,48,0,0,0
13,0,0,0.000,1,0,0,0,0,0
13,1,43,0.072,0,1,43,0,0,0
13,2,50,0.060,1,0,50,0,0,0
13,3,48,0.065,0,0,48,0,0,0
14,0,0,0.000,0,0,0,0,0,0
14,1,44,0.338,0,1,44,0,0,0
14,2,0,0.000,2,0,0,0,0,0
14,3,48,0.328,0,0,48,0,0,0
15,0,0,0.000,0,0,0,0,0,0
15,1,45,0.065,0,1,45,0,0,0
15,2,0,0.000,0,0,0,0,0,0
15,3,50,0.068,0,1,50,0,0,0
16,0,0,0.000,0,0,0,0,0,0
16,1,44,0.060,0,0,44,0,0,0
16,2,0,0.000,0,0,0,0,0,0
16,3,0,0.000,0,0,0,0,0,0
17,0,0,0.000,0,0,0,0,0,0
17,1,0,0.000,0,0,0,0,0,0
17,2,0,0.000,1,0,0,0,0,0
17,3,0,0.000,0,0,0,0,0,0
18,0,0,0.000,0,0,0,0,0,0
18,1,45,0.070,0,1,45,0,0,0
18,2,0,0.000,1,0,0,0,0,0
18,3,49,0.075,0,0,49,0,0,0
19,0,0,0.000,0,0,0,0,0,0
19,1,43,0.166,1,0,43,0,0,0
19,2,0,0.000,0,0,0,0,0,0
19,3,51,0.176,0,1,51,0,0,0
20,0,0,0.000,0,0,0,0,0,0
20,1,0,0.000,0,0,0,0,0,0
20,2,0,0.000,0,0,0,0,0,0
20,3,0,0.000,0,0,0,0,0,0
21,0,0,0.000,0,0,0,0,0,0
21,1,0,0.000,0,0,0,0,0,0
21,2,48,0.077,0,0,48,0,0,0
21,3,49,0.069,0,0,49,0,0,0
22,0,60,0.069,0,0,60,0,0,0
22,1,0,0.000,1,0,0,0,0,0
22,2,48,0.064,0,0,48,0,0,0
22,3,49,0.062,0,0,49,0,0,0
23,0,62,0.062,0,1,62,0,0,0
23,1,0,0.000,0,0,0,0,0,0
23,2,50,0.064,0,1,50,0,0,0
23,3,48,0.064,1,0,48,0,0,0
24,0,0,0.000,0,0,0,0,0,0
24,1,0,0.000,0,0,0,0,0,0
24,2,46,0.173,3,0,46,0,0,0
24,3,52,0.165,0,2,52,0,0,0
25,0,0,0.000,0,0,0,0,0,0
25,1,0,0.000,0,0,0,0,0,0
25,2,46,0.066,0,0,46,0,0,0
25,3,50,0.065,0,0,50,0,0,0
26,0,0,0.000,0,0,0,0,0,0
26,1,0,0.000,0,0,0,0,0,0
26,2,46,0.068,0,0,46,0,0,0
26,3,50,0.069,0,0,50,0,0,0
27,0,0,0.000,0,0,0,0,0,0
27,1,0,0.000,0,0,0,0,0,0
27,2,0,0.000,0,0,0,0,0,0
27,3,50,0.059,0,0,50,0,0,0
28,0,0,0.000,0,0,0,0,0,0
28,1,0,0.000,2,0,0,0,0,0
28,2,0,0.000,1,0,0,0,0,0
28,3,50,0.057,0,0,50,0,0,0
29,0,0,0.000,0,0,0,0,0,0
29,1,0,0.000,1,0,0,0,0,0
29,2,49,0.489,1,2,49,0,0,0
29,3,52,0.478,0,1,52,0,0,0
30,0,0,0.000,0,0,0,0,0,0
30,1,0,0.000,1,0,0,0,0,0
30,2,0,0.000,3,0,0,0,0,0
30,3,51,0.058,0,0,51,0,0,0
31,0,0,0.000,0,0,0,0,0,0
31,1,0,0.000,1,0,0,0,0,0
31,2,0,0.000,0,0,0,0,0,0
31,3,57,0.057,0,3,57,0,0,0
32,0,0,0.000,0,0,0,0,0,0
32,1,0,0.000,0,0,0,0,0,0
32,2,0,0.000,0,0,0,0,0,0
32,3,0,0.000,0,0,0,0,0,0
33,0,63,0.072,0,0,63,0,0,0
33,1,0,0.000,0,0,0,0,0,0
33,2,46,0.065,0,0,46,0,0,0
33,3,0,0.000,0,0,0,0,0,0
34,0,63,0.173,0,0,63,0,0,0
34,1,0,0.000,0,0,0,0,0,0
34,2,46,0.166,0,0,46,0,0,0
34,3,0,0.000,0,0,0,0,0,0
35,0,63,0.070,0,0,63,0,0,0
35,1,0,0.000,0,0,0,0,0,0
35,2,46,0.070,0,0,46,0,0,0
35,3,0,0.000,0,0,0,0,0,0
36,0,62,0.066,1,0,62,0,0,0
36,1,42,0.071,0,2,42,0,0,0
36,2,45,0.067,1,0,45,0,0,0
36,3,0,0.000,0,0,0,0,0,0
37,0,61,0.068,1,0,61,0,0,0
37,1,42,0.067,0,1,42,0,0,0
37,2,45,0.068,0,0,45,0,0,0
37,3,0,0.000,0,0,0,0,0,0
38,0,60,0.211,1,0,60,0,0,0
38,1,0,0.000,0,0,0,0,0,0
38,2,45,0.221,0,0,45,0,0,0
38,3,0,0.000,0,0,0,0,0,0
39,0,60,0.175,0,0,60,0,0,0
39,1,0,0.000,0,0,0,0,0,0
39,2,43,0.182,2,0,43,0,0,0
39,3,0,0.000,0,0,0,0,0,0
40,0,60,0.065,0,0,60,0,0,0
40,1,42,0.070,0,0,42,0,0,0
40,2,43,0.066,0,0,43,0,0,0
40,3,0,0.000,0,0,0,0,0,0
41,0,60,0.065,0,0,60,0,0,0
41,1,42,0.064,0,0,42,0,0,0
41,2,42,0.066,1,0,42,0,0,0
41,3,0,0.000,0,0,0,0,0,0
42,0,60,0.064,0,0,60,0,0,0
42,1,44,0.062,0,1,44,0,0,0
42,2,41,0.063,1,0,41,0,0,0
42,3,0,0.000,0,0,0,0,0,0
43,0,60,0.171,0,0,60,0,0,0
43,1,0,0.000,0,0,0,0,0,0
43,2,41,0.162,0,0,41,0,0,0
43,3,0,0.000,0,0,0,0,0,0
44,0,60,0.192,0,0,60,0,0,0
44,1,0,0.000,1,0,0,0,0,0
44,2,41,0.185,0,0,41,0,0,0
44,3,0,0.000,0,0,0,0,0,0
45,0,59,0.068,1,0,59,0,0,0
45,1,0,0.000,0,0,0,0,0,0
45,2,43,0.068,0,1,43,0,0,0
45,3,0,0.000,0,0,0,0,0,0
46,0,59,0.065,0,0,59,0,0,0
46,1,0,0.000,0,0,0,0,0,0
46,2,42,0.065,0,0,42,0,0,0
46,3,0,0.000,1,0,0,0,0,0
47,0,58,0.066,1,0,58,0,0,0
47,1,45,0.072,0,1,45,0,0,0
47,2,44,0.067,0,1,44,0,0,0
47,3,0,0.000,0,0,0,0,0,0
48,0,58,0.100,0,0,58,0,0,0
48,1,46,0.099,0,1,46,0,0,0
48,2,42,0.062,1,0,42,0,0,0
48,3,55,0.062,0,0,55,0,0,0
49,0,58,0.239,0,0,58,0,0,0
49,1,49,0.166,0,2,49,0,0,0
49,2,0,0.000,0,0,0,0,0,0
49,3,55,0.201,0,0,55,0,0,0
50,0,57,0.155,1,0,57,0,0,0
