frame,time_ms
0,0.157
1,0.101
2,0.101
3,0.090
4,0.090
5,0.091
6,0.149
7,0.129
8,0.100
9,0.089
10,0.119
11,0.092
12,0.095
13,0.092
14,0.090
15,0.094
16,0.093
17,0.094
18,0.086
19,0.092
20,0.090
21,0.091
22,0.084
23,0.090
24,0.091
25,0.090
26,0.099
27,0.092
28,0.087
29,0.095
30,0.092
31,0.088
32,0.087
33,0.087
34,0.088
35,0.095
36,0.089
37,0.094
38,0.090
39,0.089
40,0.088
41,0.091
42,0.089
43,0.090
44,0.086
45,0.094
46,0.092
47,0.088
48,0.127
49,0.148
50,0.211
51,0.134
52,0.101
53,0.088
54,0.114
55,0.089
56,0.076
57,0.129
58,0.100
59,0.163
60,0.175
61,0.188
62,0.162
63,0.097
64,0.113
65,0.114
66,0.110
67,0.102
68,0.092
69,0.090
70,0.090
71,0.092
72,0.096
73,0.094
74,0.096
75,0.098
76,0.097
77,0.093
78,0.091
79,0.076
80,0.095
81,0.095
82,0.095
83,0.090
84,0.097
85,0.091
86,0.087
87,0.099
88,0.094
89,0.097
90,0.088
91,0.100
92,0.098
93,0.094
94,0.090
95,0.090
96,0.087
97,0.091
98,0.093
99,0.087
100,0.095
101,0.089
102,0.086
103,0.086
104,0.085
105,0.098
106,0.109
107,0.091
108,0.089
109,0.096
110,0.090
111,0.091
112,0.093
113,0.094
114,0.096
115,0.091
116,0.090
117,0.090
118,0.097
119,0.091
120,0.094
121,0.093
122,0.089
123,0.093
124,0.095
125,0.090
126,0.091
127,0.088
128,0.094
129,0.096
130,0.088
131,0.093
132,0.094
133,0.091
134,0.108
135,0.095
136,0.091
137,0.091
138,0.094
139,0.094
140,0.088
141,0.086
142,0.094
143,0.095
144,0.095
145,0.087
146,0.086
147,0.093
148,0.096
149,0.095
150,0.087
151,0.086
152,0.148
153,0.091
154,0.094
155,0.093
156,0.091
157,0.089
158,0.090
159,0.090
160,0.087
161,0.094
162,0.090
163,0.092
164,0.096
165,0.090
166,0.099
167,0.095
168,0.095
169,0.094
170,0.093
171,0.098
172,0.094
173,0.092
174,0.099
175,0.100
176,0.097
177,0.096
178,0.093
179,0.102
180,0.101
181,0.095
182,0.091
183,0.095
184,0.094
185,0.097
186,0.096
187,0.095
188,0.094
189,0.093
190,0.091
191,0.101
192,0.093
193,0.090
194,0.098
195,0.096
196,0.100
197,0.094
198,0.090
199,0.098
200,0.099
201,0.095
202,0.093
203,0.090
204,0.096
205,0.100
206,0.091
207,0.091
208,0.095
209,0.092
210,0.091
211,0.092
212,0.090
213,0.096
214,0.093
215,0.092
216,0.113
217,0.096
218,0.094
219,0.097
220,0.092
221,0.097
222,0.094
223,0.094
224,0.097
225,0.092
226,0.100
227,0.100
228,0.100
229,0.098
230,0.091
231,0.090
232,0.100
233,0.099
234,0.099
235,0.091
236,0.099
237,0.100
238,0.098
239,0.091
240,0.099
241,0.099
242,0.099
243,0.098
244,0.090
245,0.103
246,0.096
247,0.094
248,0.093
249,0.091
250,0.096
251,0.092
252,0.095
253,0.093
254,0.090
255,0.094
256,0.092
257,0.093
258,0.094
259,0.090
260,0.146
261,0.104
262,0.101
263,0.117
264,0.101
265,0.117
266,0.097
267,0.095
268,0.094
269,0.090
270,0.105
271,0.096
272,0.091
273,0.103
274,0.092
275,0.106
276,0.100
277,0.093
278,0.097
279,0.101
280,0.095
281,0.096
282,0.092
283,0.101
284,0.092
285,0.091
286,0.095
287,0.094
288,0.092
289,0.088
290,0.102
291,0.099
292,0.092
293,0.100
294,0.100
295,0.094
296,0.095
297,0.102
298,0.092
299,0.099
