frame,migrations
0,1
1,2
2,0
3,0
4,3
5,1
6,1
7,0
8,1
9,1
10,1
11,2
12,1
13,2
14,2
15,0
16,0
17,1
18,1
19,1
20,0
21,0
22,1
23,1
24,3
25,0
26,0
27,0
28,3
29,2
30,4
31,1
32,0
33,0
34,0
35,0
36,2
37,1
38,1
39,2
40,0
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,1
58,1
59,3
60,2
61,2
62,1
63,0
64,1
65,1
66,1
67,3
68,1
69,3
70,2
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,2
84,0
85,1
86,3
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,1
95,2
96,2
97,2
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,3
108,2
109,1
110,1
111,2
112,0
113,1
114,1
115,1
116,0
117,0
118,2
119,1
120,2
121,1
122,1
123,2
124,2
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,3
133,0
134,0
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,2
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,2
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,4
167,0
168,1
169,2
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,2
178,1
179,0
180,0
181,0
182,1
183,0
184,0
185,3
186,1
187,1
188,0
189,0
190,1
191,2
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,1
204,1
205,2
206,0
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,3
219,1
220,1
221,1
222,2
223,0
224,0
225,0
226,2
227,2
228,1
229,1
230,1
231,0
232,1
233,1
234,2
235,1
236,0
237,3
238,2
239,1
240,1
241,3
242,0
243,2
244,0
245,0
246,1
247,0
248,0
249,0
250,2
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,0
260,1
261,4
262,0
263,0
264,2
265,0
266,2
267,1
268,0
269,1
270,2
271,3
272,0
273,1
274,2
275,1
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,1
295,1
296,0
297,2
298,1
299,2
