frame,total_nodes,max_depth,avg_depth
0,33,3,2.48
1,41,4,2.74
2,33,3,2.48
3,33,3,2.48
4,41,3,2.65
5,37,3,2.57
6,37,3,2.57
7,37,3,2.57
8,37,3,2.57
9,41,4,2.74
10,41,4,2.74
11,45,4,2.79
12,41,4,2.74
13,45,4,2.79
14,49,4,2.84
15,45,4,2.79
16,45,4,2.79
17,45,4,2.79
18,45,4,2.79
19,45,4,2.79
20,45,4,2.79
21,45,4,2.79
22,45,4,2.79
23,45,4,2.79
24,45,4,2.79
25,41,3,2.65
26,41,3,2.65
27,41,3,2.65
28,41,3,2.65
29,41,3,2.65
30,41,3,2.65
31,41,3,2.65
32,41,3,2.65
33,41,3,2.65
34,45,4,2.79
35,45,4,2.79
36,45,4,2.79
37,41,4,2.74
38,41,4,2.74
39,41,4,2.74
40,41,3,2.65
41,41,3,2.65
42,41,3,2.65
43,45,3,2.71
44,45,3,2.71
45,41,3,2.65
46,41,3,2.65
47,41,3,2.65
48,45,3,2.71
49,45,3,2.71
50,41,3,2.65
51,41,3,2.65
52,49,4,2.84
53,49,3,2.76
54,49,3,2.76
55,49,3,2.76
56,49,4,2.84
57,45,3,2.71
58,41,3,2.65
59,41,3,2.65
60,41,3,2.65
61,37,3,2.57
62,37,3,2.57
63,41,3,2.65
64,45,3,2.71
65,41,3,2.65
66,37,3,2.57
67,37,3,2.57
68,37,3,2.57
69,37,3,2.57
70,41,3,2.65
71,37,3,2.57
72,37,3,2.57
73,37,3,2.57
74,33,3,2.48
75,33,3,2.48
76,33,3,2.48
77,33,3,2.48
78,33,3,2.48
79,33,3,2.48
80,33,3,2.48
81,37,3,2.57
82,37,3,2.57
83,37,3,2.57
84,37,3,2.57
85,37,3,2.57
86,37,4,2.68
87,41,4,2.74
88,41,4,2.74
89,41,4,2.74
90,41,4,2.74
91,41,4,2.74
92,33,3,2.48
93,33,3,2.48
94,33,3,2.48
95,29,3,2.36
96,33,3,2.48
97,37,3,2.57
98,33,3,2.48
99,33,3,2.48
100,33,3,2.48
101,33,3,2.48
102,33,3,2.48
103,33,3,2.48
104,33,3,2.48
105,29,3,2.36
106,29,3,2.36
107,29,3,2.36
108,29,3,2.36
109,29,3,2.36
110,29,3,2.36
111,29,3,2.36
112,29,3,2.36
113,29,3,2.36
114,29,3,2.36
115,29,3,2.36
116,29,3,2.36
117,25,3,2.21
118,25,3,2.21
119,25,3,2.21
120,25,3,2.21
121,29,3,2.36
122,29,3,2.36
123,29,3,2.36
124,25,3,2.21
125,25,3,2.21
126,25,3,2.21
127,25,3,2.21
128,25,3,2.21
129,25,3,2.21
130,25,3,2.21
131,29,3,2.36
132,29,3,2.36
133,37,3,2.57
134,37,3,2.57
135,37,3,2.57
136,37,3,2.57
137,33,3,2.48
138,37,3,2.57
139,33,3,2.48
140,29,3,2.36
141,29,3,2.36
142,33,3,2.48
143,33,3,2.48
144,33,3,2.48
145,33,3,2.48
146,33,3,2.48
147,33,3,2.48
148,37,3,2.57
149,37,3,2.57
150,37,3,2.57
151,37,3,2.57
152,37,3,2.57
153,37,3,2.57
154,37,3,2.57
155,33,3,2.60
156,33,3,2.60
157,37,3,2.68
158,37,3,2.68
159,37,3,2.68
160,37,3,2.68
161,33,3,2.60
162,33,3,2.60
163,33,3,2.60
164,33,3,2.60
165,37,3,2.68
166,33,3,2.60
167,33,3,2.60
168,33,3,2.60
169,33,3,2.60
170,33,3,2.60
171,37,3,2.68
172,37,3,2.57
173,37,3,2.57
174,37,3,2.57
175,37,3,2.57
176,41,3,2.65
177,41,3,2.65
178,41,3,2.65
179,41,3,2.65
180,41,3,2.65
181,41,3,2.65
182,41,3,2.65
183,37,3,2.57
184,37,3,2.57
185,37,3,2.57
186,37,3,2.57
187,37,3,2.57
188,37,3,2.57
189,41,3,2.65
190,41,3,2.65
191,45,3,2.71
192,41,3,2.65
193,41,3,2.65
194,41,3,2.65
195,37,3,2.57
196,37,3,2.57
197,33,3,2.48
198,33,3,2.48
199,33,3,2.48
200,33,3,2.48
201,33,3,2.48
202,41,3,2.65
203,37,3,2.57
204,37,3,2.57
205,37,3,2.57
206,37,3,2.57
207,37,3,2.57
208,37,3,2.57
209,37,3,2.57
210,37,3,2.57
211,33,3,2.48
212,33,3,2.48
213,37,3,2.57
214,33,3,2.48
215,33,3,2.48
216,37,3,2.57
217,37,3,2.57
218,37,3,2.57
219,33,3,2.48
220,37,3,2.57
221,33,3,2.48
222,33,3,2.48
223,33,3,2.48
224,33,3,2.48
225,29,3,2.36
226,29,3,2.36
227,29,3,2.36
228,25,3,2.21
229,29,3,2.36
230,29,3,2.36
231,25,3,2.21
232,25,3,2.21
233,25,3,2.21
234,25,3,2.21
235,25,3,2.21
236,25,3,2.21
237,29,3,2.36
238,29,3,2.36
239,25,3,2.21
240,29,3,2.36
241,25,3,2.21
242,29,3,2.36
243,29,3,2.36
244,25,3,2.21
245,25,3,2.21
246,25,3,2.21
247,25,3,2.21
248,25,3,2.21
249,25,3,2.21
250,33,3,2.48
251,29,3,2.36
252,29,3,2.36
253,29,3,2.36
254,29,3,2.36
255,33,3,2.48
256,29,3,2.36
257,25,3,2.21
258,25,3,2.21
259,25,3,2.21
260,25,3,2.21
261,25,3,2.21
262,25,3,2.21
263,25,3,2.21
264,33,4,2.60
265,33,4,2.60
266,33,4,2.60
267,33,4,2.60
268,29,3,2.36
269,33,3,2.48
270,37,4,2.68
271,37,4,2.68
272,37,4,2.68
273,37,4,2.68
274,37,4,2.68
275,37,4,2.68
276,37,4,2.68
277,33,3,2.48
278,33,3,2.48
279,33,3,2.48
280,33,3,2.48
281,33,3,2.48
282,33,3,2.48
283,33,3,2.48
284,33,3,2.48
285,37,3,2.57
286,37,3,2.57
287,37,3,2.57
288,33,3,2.48
289,33,3,2.48
290,33,3,2.48
291,33,3,2.48
292,33,3,2.48
293,33,3,2.48
